city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Den Haag,52.0767,4.2986,Netherlands,NL,Zuid-Holland,primary,1406000,501725
Amsterdam,52.3667,4.8833,Netherlands,NL,Noord-Holland,primary,862965,862965
Utrecht,52.0908,5.1222,Netherlands,NL,Utrecht,admin,640000,316448
Rotterdam,51.9225,4.4792,Netherlands,NL,Zuid-Holland,minor,631155,631155
Eindhoven,51.4408,5.4778,Netherlands,NL,Noord-Brabant,minor,398053,209620
Almere,52.3758,5.2256,Netherlands,NL,Flevoland,minor,207904,207904
Groningen,53.2167,6.5667,Netherlands,NL,Groningen,admin,201462,201462
Breda,51.5875,4.7750,Netherlands,NL,Noord-Brabant,minor,183873,183873
Apeldoorn,52.2100,5.9700,Netherlands,NL,Gelderland,minor,161156,161156
Haarlem,52.3803,4.6406,Netherlands,NL,Noord-Holland,admin,159134,159134
Zaanstad,52.4697,4.7767,Netherlands,NL,Noord-Holland,,154037,154037
Arnhem,51.9833,5.9167,Netherlands,NL,Gelderland,admin,148070,148070
’s-Hertogenbosch,51.6833,5.3167,Netherlands,NL,Noord-Brabant,admin,134520,134520
Leeuwarden,53.2000,5.7833,Netherlands,NL,Fryslân,admin,124084,124084
Maastricht,50.8483,5.6889,Netherlands,NL,Limburg,admin,122378,122378
Zwolle,52.5125,6.0944,Netherlands,NL,Overijssel,admin,111805,111805
Alphen aan den Rijn,52.1333,4.6500,Netherlands,NL,Zuid-Holland,minor,110986,110986
Emmen,52.7833,6.9000,Netherlands,NL,Drenthe,minor,107471,107471
Delft,52.0119,4.3594,Netherlands,NL,Zuid-Holland,minor,100011,100011
Deventer,52.2500,6.2000,Netherlands,NL,Overijssel,minor,99166,99166
Hilversum,52.2300,5.1800,Netherlands,NL,Noord-Holland,minor,87817,87817
Heerlen,50.8833,5.9833,Netherlands,NL,Limburg,minor,86833,86833
Purmerend,52.5050,4.9639,Netherlands,NL,Noord-Holland,minor,80117,80117
Lelystad,52.5167,5.4833,Netherlands,NL,Flevoland,admin,77893,77893
Roosendaal,51.5314,4.4556,Netherlands,NL,Noord-Brabant,minor,77032,77032
Spijkenisse,51.8333,4.3167,Netherlands,NL,Zuid-Holland,minor,72740,72740
Ede,52.0436,5.6667,Netherlands,NL,Gelderland,minor,72460,72460
Gouda,52.0181,4.7056,Netherlands,NL,Zuid-Holland,minor,71449,71449
Zaandam,52.4417,4.8422,Netherlands,NL,Noord-Holland,minor,68695,68695
Bergen op Zoom,51.5000,4.3000,Netherlands,NL,Noord-Brabant,minor,66811,66811
Capelle aan den IJssel,51.9357,4.5782,Netherlands,NL,Zuid-Holland,minor,66514,66514
Veenendaal,52.0250,5.5550,Netherlands,NL,Utrecht,minor,65589,65589
Katwijk,52.2008,4.4153,Netherlands,NL,Zuid-Holland,minor,65302,65302
Zeist,52.0833,5.2333,Netherlands,NL,Utrecht,minor,63934,63934
Nieuwegein,52.0314,5.0919,Netherlands,NL,Utrecht,minor,63036,63036
